<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;1;050922;100100;251.0000000;251.0000000;249.2000000;249.6800000;1147660
GAZP;1;050922;100200;249.6800000;249.8700000;248.5500000;249.8700000;922600
GAZP;1;050922;100300;249.8700000;250.5000000;249.8300000;250.4300000;546770
GAZP;1;050922;100400;250.4200000;250.7000000;250.1000000;250.6100000;361150
GAZP;1;050922;100500;250.5100000;250.6400000;250.1500000;250.3000000;225300
GAZP;1;050922;100600;250.4000000;250.4000000;250.0000000;250.1200000;418170
GAZP;1;050922;100700;250.1700000;250.6600000;250.1200000;250.6600000;174220
GAZP;1;050922;100800;250.6600000;251.4900000;250.6600000;251.4800000;346590
GAZP;1;050922;100900;251.4800000;251.8400000;251.2000000;251.2200000;318150
GAZP;1;050922;101000;251.2200000;251.5000000;251.1200000;251.4000000;102710
GAZP;1;050922;101100;251.3900000;251.8500000;251.3500000;251.8100000;189500
GAZP;1;050922;101200;251.7800000;252.1100000;251.4100000;251.5000000;548920
GAZP;1;050922;101300;251.4600000;251.9100000;251.2900000;251.4300000;348920
GAZP;1;050922;101400;251.4300000;251.7900000;251.4000000;251.6100000;125810
GAZP;1;050922;101500;251.5900000;251.5900000;251.2200000;251.3100000;79910
GAZP;1;050922;101600;251.3500000;251.6000000;251.3500000;251.3800000;70720
GAZP;1;050922;101700;251.3600000;251.5500000;251.3100000;251.5000000;70270
GAZP;1;050922;101800;251.4900000;251.5000000;250.9000000;250.9500000;159860
GAZP;1;050922;101900;250.9000000;250.9700000;250.5800000;250.6500000;110270
GAZP;1;050922;102000;250.6100000;250.8200000;250.3600000;250.3800000;236190
GAZP;1;050922;102100;250.3800000;250.4700000;250.0100000;250.0900000;280230
GAZP;1;050922;102200;250.0300000;250.1300000;249.7500000;249.7500000;527580
GAZP;1;050922;102300;249.7600000;250.0800000;249.5100000;250.0800000;340070
GAZP;1;050922;102400;250.0700000;250.0700000;249.7500000;249.8500000;95930
GAZP;1;050922;102500;249.8700000;250.4000000;249.8000000;250.4000000;146070
GAZP;1;050922;102600;250.3600000;250.6700000;250.3200000;250.6700000;209690
GAZP;1;050922;102700;250.6600000;250.9900000;250.6600000;250.8500000;216470
GAZP;1;050922;102800;250.8500000;250.9900000;250.6600000;250.7500000;122820
GAZP;1;050922;102900;250.7500000;250.8800000;250.7000000;250.7500000;36220
GAZP;1;050922;103000;250.7700000;250.8000000;250.0500000;250.2600000;138660
GAZP;1;050922;103100;250.3700000;250.3700000;250.0000000;250.0900000;163190
GAZP;1;050922;103200;250.0800000;250.0800000;249.7300000;249.8500000;124260
GAZP;1;050922;103300;249.8600000;249.8900000;249.7000000;249.7800000;57690
GAZP;1;050922;103400;249.7800000;250.0500000;249.7800000;250.0500000;80190
GAZP;1;050922;103500;250.0500000;250.2000000;250.0100000;250.1500000;28160
GAZP;1;050922;103600;250.1500000;250.2200000;250.1300000;250.1600000;62900
GAZP;1;050922;103700;250.1600000;250.2500000;250.1600000;250.1700000;41440
GAZP;1;050922;103800;250.2000000;250.2500000;250.1600000;250.1800000;19570
GAZP;1;050922;103900;250.2000000;250.4000000;250.1800000;250.4000000;33280
GAZP;1;050922;104000;250.4000000;250.4000000;250.3400000;250.3600000;27230
GAZP;1;050922;104100;250.3500000;250.3800000;250.2500000;250.3000000;42120
GAZP;1;050922;104200;250.3000000;250.3000000;250.2200000;250.2600000;37500
GAZP;1;050922;104300;250.3000000;250.3900000;250.2600000;250.3800000;40860
GAZP;1;050922;104400;250.3700000;250.4900000;250.3100000;250.4900000;58010
GAZP;1;050922;104500;250.4900000;250.5800000;250.3500000;250.4200000;103250
GAZP;1;050922;104600;250.3800000;250.4300000;250.0100000;250.1200000;115230
GAZP;1;050922;104700;250.1500000;250.3200000;250.1200000;250.3200000;26630
GAZP;1;050922;104800;250.2500000;250.3500000;250.1800000;250.1800000;18270
GAZP;1;050922;104900;250.2500000;250.2500000;250.1500000;250.2000000;19490
GAZP;1;050922;105000;250.2000000;250.3700000;250.1500000;250.1500000;50570
GAZP;1;050922;105100;250.1900000;250.6700000;250.0000000;250.4800000;421990
GAZP;1;050922;105200;250.5800000;250.7000000;250.1000000;250.1100000;74850
GAZP;1;050922;105300;250.1300000;250.4600000;250.0900000;250.3100000;66110
GAZP;1;050922;105400;250.3300000;250.4600000;250.2200000;250.2200000;42540
GAZP;1;050922;105500;250.2200000;250.2900000;250.2000000;250.2800000;9300
GAZP;1;050922;105600;250.2100000;250.2700000;250.2000000;250.2500000;25860
GAZP;1;050922;105700;250.2300000;250.3000000;250.2200000;250.2500000;18510
GAZP;1;050922;105800;250.2400000;250.5500000;250.2200000;250.4800000;60050
GAZP;1;050922;105900;250.4800000;250.7600000;250.3100000;250.7500000;92540
GAZP;1;050922;110000;250.6600000;250.7200000;250.5100000;250.6200000;30050
GAZP;1;050922;110100;250.6000000;250.6200000;250.1000000;250.1300000;100590
GAZP;1;050922;110200;250.1300000;250.1600000;250.0000000;250.0000000;391760
GAZP;1;050922;110300;250.0000000;250.1800000;250.0000000;250.1500000;443030
GAZP;1;050922;110400;250.1500000;250.2800000;250.0000000;250.1700000;242540
GAZP;1;050922;110500;250.2500000;250.6300000;250.1700000;250.3400000;116100
GAZP;1;050922;110600;250.3200000;250.3200000;250.1400000;250.2000000;28300
GAZP;1;050922;110700;250.1600000;250.2000000;250.1400000;250.1600000;22090
GAZP;1;050922;110800;250.1600000;250.5600000;250.0600000;250.5000000;120710
GAZP;1;050922;110900;250.3600000;250.5100000;250.2400000;250.4300000;57160
GAZP;1;050922;111000;250.4000000;250.4400000;250.2000000;250.2900000;13460
GAZP;1;050922;111100;250.3000000;250.3000000;250.1000000;250.1600000;60350
GAZP;1;050922;111200;250.1500000;250.2900000;250.0600000;250.1500000;68790
GAZP;1;050922;111300;250.1300000;250.2000000;250.0700000;250.1300000;35300
GAZP;1;050922;111400;250.1300000;250.1300000;250.0400000;250.1000000;31020
GAZP;1;050922;111500;250.0500000;250.0800000;250.0200000;250.0300000;41570
GAZP;1;050922;111600;250.0200000;250.0300000;249.5000000;249.8000000;840620
GAZP;1;050922;111700;249.8000000;250.3900000;249.8000000;249.9600000;195760
GAZP;1;050922;111800;249.9800000;250.0000000;249.7500000;249.9000000;71230
GAZP;1;050922;111900;249.8800000;250.1500000;249.8000000;250.0800000;69130
GAZP;1;050922;112000;250.0800000;250.1500000;250.0000000;250.0600000;68870
GAZP;1;050922;112100;250.0000000;250.1200000;250.0000000;250.0100000;17850
GAZP;1;050922;112200;250.0500000;250.1500000;250.0400000;250.0400000;22720
GAZP;1;050922;112300;250.0400000;250.0400000;249.8600000;249.9500000;50440
GAZP;1;050922;112400;249.9000000;250.0200000;249.8600000;249.9500000;40380
GAZP;1;050922;112500;249.9300000;249.9300000;249.8000000;249.8200000;62990
GAZP;1;050922;112600;249.8800000;249.9500000;249.8000000;249.9500000;31130
GAZP;1;050922;112700;249.9500000;250.2000000;249.8500000;249.8500000;175600
GAZP;1;050922;112800;249.8600000;249.9700000;249.8100000;249.9400000;24420
GAZP;1;050922;112900;249.9500000;250.4000000;249.9100000;250.3300000;88030
GAZP;1;050922;113000;250.3500000;250.3500000;250.0600000;250.1100000;45150
GAZP;1;050922;113100;250.1300000;250.2800000;250.1000000;250.2800000;19980
GAZP;1;050922;113200;250.2200000;250.3000000;250.0400000;250.0900000;48770
GAZP;1;050922;113300;250.1000000;250.3600000;250.0400000;250.2900000;83020
GAZP;1;050922;113400;250.2500000;250.6500000;250.2500000;250.6000000;111610
GAZP;1;050922;113500;250.6100000;250.9800000;250.6100000;250.6700000;171030
GAZP;1;050922;113600;250.6500000;250.7800000;250.6500000;250.7400000;17020
